"DisplayName","DisplayVersion","Publisher","InstallDate"
"1258EllAbi.MoveMouse","4.18.5.0","CN=63DBE16F-F2A6-4DBC-BF53-83848FED6966",
"1527c705-839a-4832-9118-54d4Bd6a0c89","10.0.19640.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"5319275A.WhatsAppDesktop","2.2450.6.0","CN=24803D75-212C-471A-BC57-9EF86AB91435",
"c5e2524a-ea46-4f67-841f-6a9465d9d515","10.0.26100.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Claude","0.7.7","Anthropic PBC","20250104"
"Dokumente","1.0","Google\Chrome","20250103"
"DolbyLaboratories.DolbyAccessOEM","3.25.1580.0","CN=58D26209-1D57-482C-B403-B655571B5C7B",
"DolbyLaboratories.DolbyDigitalPlusDecoderOEM","1.1.285.0","CN=58D26209-1D57-482C-B403-B655571B5C7B",
"DolbyLaboratories.DolbyVisionAccess","2.20400.722.0","CN=58D26209-1D57-482C-B403-B655571B5C7B",
"E2A4F912-2574-4A75-9BB0-0D023378592B","10.0.19640.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE","10.0.26100.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Figma","124.6.5","Figma, Inc.","20250105"
"Google Chrome","131.0.6778.205","Google LLC","20250102"
"Microsoft 365 - de-de","16.0.18227.20162","Microsoft Corporation",
"Microsoft Edge","131.0.2903.112","Microsoft Corporation","20250103"
"Microsoft Edge WebView2-Laufzeit","131.0.2903.112","Microsoft Corporation","20250103"
"Microsoft OneDrive","22.176.0821.0002","Microsoft Corporation",
"Microsoft OneNote - de-de","16.0.18227.20162","Microsoft Corporation",
"Microsoft Teams Meeting Add-in for Microsoft Office","1.24.28402","Microsoft","20250103"
"Microsoft Visual C++ 2022 Arm64 Runtime - 14.40.33810","14.40.33810","Microsoft Corporation","20250104"
"Microsoft Visual C++ 2022 Redistributable (Arm64) - 14.38.33130","14.38.33130.0","Microsoft Corporation",
"Microsoft Visual Studio Code (User)","1.96.2","Microsoft Corporation","20250102"
"Microsoft.6365217CE6EB4","102.2410.16002.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.AAD.BrokerPlugin","1000.19580.1000.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.AccountsControl","10.0.26100.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
